,0,1,2,3,4,5,6,7,8,9,10
loss,3.4960901737213135,3.1010119915008545,2.925077199935913,2.8199708461761475,2.743896484375,2.679198741912842,2.634498119354248,2.591125965118408,2.5477843284606934,2.510496139526367,2.47302508354187
race_loss,1.751019835472107,1.5304416418075562,1.4324629306793213,1.372951865196228,1.3322280645370483,1.2964093685150146,1.2694554328918457,1.2463905811309814,1.2215632200241089,1.2027242183685303,1.1796373128890991
age_loss,1.7450687885284424,1.570570945739746,1.4926164150238037,1.4470208883285522,1.4116673469543457,1.3827898502349854,1.365043044090271,1.3447349071502686,1.326221227645874,1.3077715635299683,1.2933863401412964
race_accuracy,0.30693766474723816,0.40966522693634033,0.44718942046165466,0.46830904483795166,0.48628148436546326,0.4984897971153259,0.5084847211837769,0.5178917050361633,0.527471661567688,0.5359794497489929,0.5448791980743408
age_accuracy,0.3251175880432129,0.377167284488678,0.40045422315597534,0.41462233662605286,0.4248478412628174,0.4350617825984955,0.4401111304759979,0.4473969340324402,0.4507516324520111,0.45909804105758667,0.4643203020095825
val_loss,3.2125585079193115,2.988682270050049,2.880490303039551,2.8881590366363525,2.8202383518218994,2.7586374282836914,2.7399494647979736,2.738116979598999,2.72575044631958,2.7119863033294678,2.720106840133667
val_race_loss,1.598606824874878,1.467401146888733,1.4060554504394531,1.4028502702713013,1.388243556022644,1.3417994976043701,1.3320494890213013,1.3458170890808105,1.3167705535888672,1.3136967420578003,1.3198916912078857
val_age_loss,1.6139520406723022,1.5212814807891846,1.4744346141815186,1.4853094816207886,1.4319945573806763,1.416838526725769,1.4078997373580933,1.3923002481460571,1.408979892730713,1.3982884883880615,1.4002145528793335
val_race_accuracy,0.38369545340538025,0.4394741654396057,0.46101880073547363,0.46037977933883667,0.46558335423469543,0.4820156991481781,0.4885886311531067,0.4809202253818512,0.49853935837745667,0.4933357536792755,0.4986306428909302
val_age_accuracy,0.3763009011745453,0.40295782685279846,0.41984662413597107,0.4142778813838959,0.4266934394836426,0.43098410964012146,0.4288844168186188,0.4335402548313141,0.43217089772224426,0.4314405620098114,0.42870184779167175
