,0,1,2,3,4,5,6
loss,0.647026538848877,0.6057908535003662,0.5785006284713745,0.5698392391204834,0.5549435615539551,0.5515168309211731,0.5404320955276489
accuracy,0.6233168840408325,0.6706631183624268,0.6852347254753113,0.6906068325042725,0.7010167837142944,0.7043830156326294,0.712510347366333
val_loss,0.5986738801002502,0.5725365281105042,0.567606508731842,0.5512717366218567,0.5598503351211548,0.5790189504623413,0.6205075979232788
val_accuracy,0.6774694323539734,0.6907066106796265,0.6917107701301575,0.7075954079627991,0.7049479484558105,0.6639583706855774,0.6803907155990601
