,0,1,2,3,4,5,6,7,8,9,10
loss,0.6039953231811523,0.5229091644287109,0.4780397415161133,0.44803449511528015,0.4264151155948639,0.40756380558013916,0.3908970057964325,0.3744049668312073,0.36109641194343567,0.3445762097835541,0.33156707882881165
accuracy,0.6667320132255554,0.7321197986602783,0.7615512609481812,0.7790279388427734,0.7931038737297058,0.8047472834587097,0.8146730661392212,0.8238033652305603,0.8311352729797363,0.8413838148117065,0.8488656282424927
val_loss,0.5529075264930725,0.4945344626903534,0.46132713556289673,0.44723236560821533,0.43162399530410767,0.42157378792762756,0.4216938316822052,0.4119603633880615,0.4130776524543762,0.41351839900016785,0.4165591895580292
val_accuracy,0.7115209102630615,0.7560708522796631,0.7728683352470398,0.7786197066307068,0.7861055135726929,0.7940478324890137,0.7965126633644104,0.8015336990356445,0.8001643419265747,0.8026291728019714,0.8031769394874573
