,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
loss,0.6529643535614014,0.6137543320655823,0.5799052715301514,0.5564929842948914,0.5375195741653442,0.5197924971580505,0.5048118233680725,0.4905979037284851,0.47731637954711914,0.4668383002281189,0.45581960678100586,0.4463610351085663,0.4382448196411133,0.43070730566978455,0.42323148250579834,0.4161013960838318,0.4100075960159302,0.4029783010482788,0.39699214696884155,0.39174020290374756,0.38610348105430603,0.37992244958877563,0.37451037764549255,0.3684186637401581,0.36343589425086975,0.3573587238788605,0.35212263464927673,0.3472948670387268,0.3416900634765625,0.3366841673851013,0.33108818531036377,0.32595402002334595,0.3207888603210449,0.3150380551815033,0.310930997133255,0.30471745133399963,0.299764484167099,0.29518115520477295,0.2897343039512634,0.28402769565582275,0.2790619432926178,0.273888498544693,0.2697458863258362,0.2637873888015747,0.2587246596813202,0.25276920199394226,0.24807503819465637,0.24260780215263367,0.2375151515007019,0.2337414026260376,0.22931234538555145,0.22317206859588623,0.21885976195335388,0.21330034732818604,0.20687399804592133,0.203598752617836,0.19812758266925812,0.19432416558265686,0.18807385861873627,0.18537560105323792,0.1787368208169937,0.1765400767326355,0.17025111615657806,0.1639982908964157,0.16086307168006897,0.15869489312171936,0.15513679385185242,0.14753380417823792,0.14260490238666534,0.14165538549423218,0.13549625873565674,0.12917619943618774,0.12302941083908081,0.12372325360774994,0.1222524642944336,0.11441808193922043,0.1121765598654747,0.11232268065214157,0.10193779319524765,0.10788949579000473,0.09788435697555542,0.09590544551610947,0.0852077528834343,0.09011990576982498,0.08192736655473709,0.09357365220785141,0.0750754252076149,0.08162292093038559,0.080174520611763,0.06184889376163483,0.0715709924697876,0.0625036433339119,0.0649762973189354,0.057833313941955566,0.08038677275180817,0.05788625776767731,0.05267276614904404,0.041153449565172195,0.03682035207748413,0.03555445000529289
accuracy,0.618244469165802,0.6644609570503235,0.6953679919242859,0.7114843726158142,0.7242230176925659,0.7352900505065918,0.7450889945030212,0.7540003061294556,0.7635340690612793,0.7701396942138672,0.7771142721176147,0.7830858826637268,0.7864636182785034,0.7910518050193787,0.7962049245834351,0.8005856275558472,0.8042746186256409,0.8090473413467407,0.8123905062675476,0.8155837655067444,0.8181430697441101,0.8219473361968994,0.8255095481872559,0.829890251159668,0.8331988453865051,0.8355390429496765,0.8380406498908997,0.8421908020973206,0.8451074361801147,0.8471594452857971,0.8511366844177246,0.8535114526748657,0.8562436699867249,0.8605898022651672,0.8623074889183044,0.8658466339111328,0.8689131140708923,0.8704002499580383,0.8731901049613953,0.8766716122627258,0.8791040182113647,0.8821359276771545,0.8849949240684509,0.8868855237960815,0.8905630111694336,0.893260657787323,0.8951858282089233,0.8991169333457947,0.900465726852417,0.9026791453361511,0.9046735167503357,0.9075210094451904,0.9103108048439026,0.912362813949585,0.9148759841918945,0.917527437210083,0.9205593466758728,0.9218966364860535,0.9248132705688477,0.9267153739929199,0.929424524307251,0.9313496947288513,0.933678388595581,0.9371829628944397,0.9385778903961182,0.9392234683036804,0.9415867328643799,0.9451028108596802,0.9473623633384705,0.9477773904800415,0.949644923210144,0.9536336660385132,0.9560776352882385,0.9563658833503723,0.957080602645874,0.9602854251861572,0.9621530175209045,0.9621760845184326,0.9665452241897583,0.9661532640457153,0.9671562314033508,0.9694503545761108,0.9744535684585571,0.9724591970443726,0.9757792949676514,0.9721940159797668,0.9787997007369995,0.9786152243614197,0.9788457751274109,0.9847943186759949,0.9810937643051147,0.9846675395965576,0.9834455251693726,0.9869962334632874,0.9826616048812866,0.987399697303772,0.9887254238128662,0.9928640723228455,0.9944319128990173,0.9947662353515625
val_loss,0.630714476108551,0.6221472024917603,0.5626286268234253,0.5474640727043152,0.5245442986488342,0.5123289823532104,0.49589455127716064,0.4818025529384613,0.496962308883667,0.46290355920791626,0.45319515466690063,0.4526834785938263,0.44063806533813477,0.45329737663269043,0.46859046816825867,0.4331265091896057,0.42564114928245544,0.4424348771572113,0.4715908467769623,0.44967636466026306,0.4362713098526001,0.4117552638053894,0.41704288125038147,0.41990557312965393,0.407686322927475,0.4144366979598999,0.426449179649353,0.4101475477218628,0.4046448767185211,0.407349556684494,0.40864142775535583,0.4282818138599396,0.41547098755836487,0.40475043654441833,0.43291762471199036,0.43778854608535767,0.4269947409629822,0.41073283553123474,0.4703293442726135,0.4252972900867462,0.42240849137306213,0.4184929132461548,0.4330156147480011,0.42002296447753906,0.4338870644569397,0.42308318614959717,0.5504680871963501,0.4839280843734741,0.44864052534103394,0.6602362990379333,0.499523401260376,0.4471730887889862,0.4506961703300476,0.46020931005477905,0.467643141746521,0.4704599976539612,0.49285706877708435,0.5172032713890076,0.48145386576652527,0.5349627137184143,0.4942089021205902,0.5173892974853516,0.5076599717140198,0.5055012106895447,0.6710456013679504,0.5334763526916504,0.5249286890029907,0.5890753269195557,0.5656850337982178,0.54767245054245,0.5929071307182312,0.5592590570449829,0.5754892230033875,0.6065592765808105,0.7878390550613403,0.5959716439247131,0.6378887891769409,1.0753945112228394,0.616364598274231,0.7822608947753906,0.6247355341911316,0.6437761187553406,0.6892329454421997,0.662293553352356,0.6624523997306824,0.6628488302230835,0.7930905222892761,0.7377179265022278,0.7195767164230347,0.7114250659942627,0.7265117168426514,0.7778434157371521,0.7374194264411926,1.4491207599639893,0.7841094136238098,0.7355735898017883,0.7528843283653259,0.7696657776832581,0.7865080237388611,0.814320981502533
val_accuracy,0.6497169733047485,0.6543728113174438,0.7069563865661621,0.7222931981086731,0.736078143119812,0.7449333667755127,0.7550666332244873,0.764743447303772,0.7443856000900269,0.7788935303688049,0.7828190326690674,0.7781632542610168,0.7900310158729553,0.777980625629425,0.7656563520431519,0.791491687297821,0.7931349277496338,0.7816323041915894,0.7679386734962463,0.7796238660812378,0.7882965207099915,0.8013511300086975,0.7983385324478149,0.799068808555603,0.8040898442268372,0.7968778610229492,0.8000730276107788,0.8071024417877197,0.8084717988967896,0.8057330846786499,0.8080153465270996,0.8005294799804688,0.8072850108146667,0.8081066012382507,0.7976081967353821,0.7997991442680359,0.8059156537055969,0.8103889226913452,0.7901223301887512,0.8039072751998901,0.8072850108146667,0.8103889226913452,0.80527663230896,0.8104801774024963,0.8077414631843567,0.8112105131149292,0.7746028900146484,0.7986123561859131,0.805459201335907,0.7506846785545349,0.7873836159706116,0.8099324703216553,0.8077414631843567,0.8106627464294434,0.8037246465682983,0.812579870223999,0.8038159608840942,0.7937739491462708,0.8078327775001526,0.7965126633644104,0.8108453750610352,0.8028117418289185,0.8078327775001526,0.8081979155540466,0.7596311569213867,0.8041810989379883,0.8038159608840942,0.7920394539833069,0.8035420775413513,0.806280791759491,0.7961475253105164,0.80527663230896,0.8070111274719238,0.7956910729408264,0.7591747045516968,0.805824339389801,0.799068808555603,0.7469417452812195,0.8025378584861755,0.7802629470825195,0.8077414631843567,0.8027204871177673,0.7945042848587036,0.8045462965965271,0.8021727204322815,0.8045462965965271,0.7890268564224243,0.7903962135314941,0.7968778610229492,0.8047288656234741,0.8007120490074158,0.8025378584861755,0.8045462965965271,0.7226583957672119,0.7973343133926392,0.8020814061164856,0.8040898442268372,0.8073763251304626,0.8042724132537842,0.8040898442268372
